dmd_type,dmd_id,dmd_name,bnf_code
VMP,330061001,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,137811000001109,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,18456111000001109,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,638911000001102,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,579611000001105,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,9783511000001107,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,10376711000001103,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,18556311000001104,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,28977711000001107,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,22588111000001104,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,27989711000001103,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,35978611000001105,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,478711000001103,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,40127111000001108,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,773811000001108,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,37030411000001102,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,38777111000001103,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,19199211000001100,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,17757011000001108,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,35590711000001101,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,65811000001100,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,808611000001108,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,29759511000001101,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,17333811000001108,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,181311000001102,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,460811000001102,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,21756911000001105,Allopurinol 100mg tablets,1001040C0AAAAAA
AMP,869411000001103,Allopurinol 100mg tablets,1001040C0AAAAAA
VMP,8272011000001106,Allopurinol 100mg/5ml oral solution,1001040C0AAAPAP
AMP,8219111000001106,Allopurinol 100mg/5ml oral solution,1001040C0AAAPAP
VMP,8272111000001107,Allopurinol 100mg/5ml oral suspension,1001040C0AAAWAW
AMP,8221011000001102,Allopurinol 100mg/5ml oral suspension,1001040C0AAAWAW
AMP,807011000001102,Caplenal 100mg tablets,1001040C0BDAAAA
AMP,527211000001101,Zyloric 100mg tablets,1001040C0BGAAAA
AMP,332511000001101,Xanthomax 100 tablets,1001040C0BJACAA
AMP,26658911000001101,Uricto 100mg tablets,1001040C0BLAAAA
