dmd_type,dmd_id,dmd_name,bnf_code
VMP,17042711000001108,Febuxostat 120mg tablets,1001040V0AAABAB
AMP,37197211000001101,Febuxostat 120mg tablets,1001040V0AAABAB
AMP,37080411000001105,Febuxostat 120mg tablets,1001040V0AAABAB
AMP,37874611000001105,Febuxostat 120mg tablets,1001040V0AAABAB
AMP,37418411000001100,Febuxostat 120mg tablets,1001040V0AAABAB
AMP,40690011000001104,Febuxostat 120mg tablets,1001040V0AAABAB
AMP,37759211000001107,Febuxostat 120mg tablets,1001040V0AAABAB
AMP,37066311000001102,Febuxostat 120mg tablets,1001040V0AAABAB
AMP,38085811000001106,Febuxostat 120mg tablets,1001040V0AAABAB
AMP,37403211000001109,Febuxostat 120mg tablets,1001040V0AAABAB
AMP,38900211000001106,Febuxostat 120mg tablets,1001040V0AAABAB
AMP,37505411000001101,Febuxostat 120mg tablets,1001040V0AAABAB
AMP,37425311000001107,Febuxostat 120mg tablets,1001040V0AAABAB
AMP,37245811000001102,Febuxostat 120mg tablets,1001040V0AAABAB
AMP,17030811000001102,Adenuric 120mg tablets,1001040V0BBABAB
